index,utterance_idx,utterance,video_id,sentiment
688,4.0,BUT JUST GOING INTO THIS A AS AN OBSERVER AND SOMEONE WHO HAS NO IDEA IT WAS A FANTASTIC FILM IT WAS SO MUCH FUN,_dI--eQ6qVU,3.0
1045,36.0,AND UM THERES NOT IN MY OPINION THERE WASNT VERY MUCH OF A BALANCE BETWEEN SORT OF LIKE THE GOOD EVIL KIND OF THING,7JsX8y1ysxY,-1.6
1201,5.0,PLUS I HAD A GOOD TIME,ZUXBRvtny7o,1.4
162,24.0,UM BUT HEY IF YOURE LOOKING TO SPEND SOME MONEY UM GO CHECK IT OUT MAYBE YOU WILL LIKE IT,Nzq88NnDkEk,-1.0
350,14.0,AND NOW IM NOT IM NOT EXCITED ANYMORE,8OtFthrtaJM,-1.4
983,4.0, I CAN TELL YOU THAT TRON LEGACY IS NOT A GOOD MOVIE,QN9ZIUWUXsY,-2.4
314,2.0,UM LIP SMACKING THIS MOVIE IS DUMB,OtBXNcAL_lE,-2.6
693,9.0, SO THAT DOESNT SURPRISE ME ,_dI--eQ6qVU,0.6
1513,10.0,AND I JUST HAD FUN WATCHING THIS MOVIE,2iD-tVS8NPw,2.2
858,12.0,UM AND I THOUGHT WOODY HARELSON WAS A FUNNY ,Jkswaaud0hk,1.6
642,21.0,AND UM IT TOTALLY MADE UP FOR THAT SO THATS OK,Ci-AH39fi3Y,1.2
406,25.0,ITS A GOOD ACTION MOVIE ,I5y0__X72p0,1.8
271,21.0,THE STORYLINE ISNT THIS GOOD,Bfr499ggo-0,-2.0
494,21.0, UM AND THATS WHAT TRADITIONL NARRATIVE MOVIES DO,Oz06ZWiO20M,0.4
1102,33.0,IS REALLY REALLY HARD CORE,2WGyTLYerpo,1.2
2,3.0,THIS MOVIE ISNT JUST BAD ITS DIABOLICAL ,nbWiPyCm4g0,-1.8
356,20.0, OVERALL OVERALL IT HAD FAR TOO MANY PLOT HOLES,8OtFthrtaJM,-1.8
492,19.0,MAKE THEM COMPELLING IN THEIR RELATIONSHIPS COMPELLING AND THEN HAVE A STORY THATS LIKE AT FIVE MINUTES THIS HAPPENS AND AT TEN MINUTES THIS HAPPENS THAT LIKE MOVES FORWARD AND HAS MOMENTUM,Oz06ZWiO20M,0.0
930,23.0,HIS FIGHT SEQUENCES ARE VERY NEAT,nzpVDcQ0ywM,2.0
1041,32.0, SO OVERALL ITS ITS LIKE A BLEND OF YOUVE GOT ALTERNATIVE HISTORY,7JsX8y1ysxY,0.6
65,12.0,AND THEY ALWAYS LIKE PULL OUT SOMETHING NEW ,jUzDDGyPkXU,0.5
1113,44.0,SHES BEAUTIFUL,2WGyTLYerpo,0.2
583,4.0,THE ACTING WAS ALLRIGHT,Dg_0XKD0Mf4,0.2
814,12.0,OTHER NOTABLE MENTIONES ARE CHRISTOPHER PLUMBER,vyB00TXsimI,0.2
939,8.0,BUT BUT I JUST DID DIDNT LAUGH,tmZoasNr4rU,-2.0
287,6.0,AND THE ONLY HE MO FILM THAT IM REALLY SCARED ABOUT IS SMALL SOLDIERS,Clx4VXItLTE,-0.4
599,2.0, THIS FILM IS SLAVISHLY DEVOTED TO THE ORIGINAL BOOK OR NOV NOVELLA UH BY UH CHARLES DICKENS,yDtzw_Y-7RU,0.8
1055,7.0,UM THIS IS A GREAT FAMILY MOVIE TO TAKE YOUR WHOLE FAMILY TO THIS MOVIE,G-xst2euQUc,2.2
181,11.0,THEYRE LIKE THE DUMB KINDA COWBOYS THAT DONT KNOW WHAT THEYRE DOING ALWAYS ASKING DUMB QUESTIONS STAYING SAYING STUPID SHIT,W8NXH0Djyww,-2.2
652,31.0,WHICH IS STILL GOOD,Ci-AH39fi3Y,1.4
650,29.0, THATS NOT TO SAY THAT THE ENDING WASNT GOOD BECAUSE IT REALLY WAS ,Ci-AH39fi3Y,1.4
68,15.0, LIKE ENOUGH THAT IT ACTUALLY IS A GOOD REASON WHY THEY WHY THEYRE ATTACKING,jUzDDGyPkXU,1.33333333333
1118,49.0,AND THERE BUT THEYRE NOT HUGE GLARING FLAWS,2WGyTLYerpo,-0.6
953,2.0, UM I LOVED THE VERY FIRST ALVIN AND THE CHIPMUNKS MOVIE ,1DmNV9C1hbY,1.6
780,3.0,THERE WERE SOME REALLY GOOD THINGS ABOUT THIS MOVIE,9J25DZhivz8,2.0
1495,8.0,I DIDNT THINK IT WAS FUNNY,tStelxIAHjw,-2.0
1315,18.0,NO SICK IN THE OH MY GOD THAT WAS CRAZY THAT KIND OF SICK,atnd_PF-Lbs,-0.8
1522,19.0, AND IT SEEMED LIKE THEY WERE GONNA GO THAT ROUTE,2iD-tVS8NPw,0.0
393,12.0,ERIC BANA DECIDES TO TRAIN TO BE THIS MOST PARANOID ASASSIN CHICK IN THE WORLD ,I5y0__X72p0,-0.6
499,1.0, UM SO THERE ARE THINGS THAT I LIKED ABOUT THE MOVIE BETTER THAN I LIKED ABOUT THE BOOK AND VICE VERSE,73jzhE8R1TQ,1.0
909,2.0,THE PLOT HAS THE CONSISTENCY OF SWISS CHEESE,nzpVDcQ0ywM,-1.6
1409,6.0,NOT A BAD IDEA FOR A SEQUEL,dq3Nf_lMPnE,0.8
1103,34.0, HE DOESNT TAKE CRAP FROM ANYBODY,2WGyTLYerpo,0.6
1393,5.0,BUT THEY DID NOT EXECUTE IT VERY WELL ,c5xsKMxpXnc,-2.2
248,16.0,WHO I DONT USUALLY LIKE,iiK8YX8oH1E,0.0
122,11.0,AND I THINK I WHY I WOULD BE SCARED IS BECAUSE I WOULD FEEL SCARED AND KIND OF SAD IF I LOST MY OWN MOTHER,6Egk_28TtTM,-1.2
353,17.0,YOU KNOW IT WAS IT WAS FUNNY AT TIMES,8OtFthrtaJM,1.0
866,20.0,THUMBS UP ,Jkswaaud0hk,1.6
1529,26.0,BECAUSE I MEAN IF HES ABLE TO DO ALL OF THIS SORT OF STUFF LIKE HOW YOURE SUPPOSED TO REALLY PUT UP A FORCE THAT CAN PUSH HIM TO THE NEXT LEVEL OR OR DESTROY HIM AT THE SAME TIME,2iD-tVS8NPw,0.0
615,18.0,ALSO ABOUT THE ANIMATION THE PEOPLE JUST LIKE IN POLAR EXPRESS A FILM I REALLY DID NOT LIKE,yDtzw_Y-7RU,-2.0
1123,54.0,I JUST THOUGHT IT WAS KIND OF STUPID ,2WGyTLYerpo,-2.0
754,7.0,UM BUT I DID ENJOY IT,8d-gEyoeBzc,0.2
71,18.0, THERE IS NO GOOD DIALOGUE,jUzDDGyPkXU,-2.4
1291,27.0,AND YEAH I THINK THE ONLY CHARACTER WHO ACTUALLY SHOWED THEIR MOTIVATION BIHIND ANYTHING THEY DID WAS THE VILLAIN,c7UH_rxdZv4,-1.8
817,15.0,I REALLY LOVE THE MELODRAMATIC OVER THE TOP CRAZY ACTION SORT OF THING GOING ON,vyB00TXsimI,2.6
1460,3.0,BECAUSE UM IN AT THE BEGINNING OF THE 1980S PEOPLE THOUGHT THAT COMPUTERS CAN DO EVERY EVERY ANYTHING ,BioHAh1qJAQ,0.4
886,20.0,AND I DONT KNOW IF THIS SCENE TOOK PLACE FEFTEEN TWENTY YEARS AGO WHEN THOSE GUYS WERE ABSOLUTELY PRIME IT WOULDVE BEEN JUST UM ABSOLUTELY BREATH TAKING MONUMENTAL MOMENT IN CINEMATIC HISTORY,bvLlb-M3UXU,-0.6
1145,13.0, BUT THATS JUST ME,8qrpnFRGt2A,-0.3333333333329999
1467,10.0, IT GETS STRAIGHT INTO THE STORY,BioHAh1qJAQ,1.0
1490,3.0,I REALLY DID,tStelxIAHjw,0.5
322,10.0,SO I THOUGHT THIS MOVIE WOULD BE FUNNY,OtBXNcAL_lE,0.4
18,9.0,AND WARNER BROTHERS IS NEVER GONNA GIVE YOU ONE,Af8D0E4ZXaw,-1.0
178,8.0, AND NOW WHAT I LOVED ABOUT THIS MOVIE WAS LIKE THE SUPPORTING CHARACTERS IN THIS MOVIE,W8NXH0Djyww,2.2
79,26.0,WELL I CAN TELL YOU RIGHT NOW I DONT REMEMBER THE NAMES OF ANY CHARACTERS NONE OF THEM WERE MEMBORABLE ,jUzDDGyPkXU,-2.0
846,22.0,I SAT WITH THE GUYS AND WE ALL TRY TO STAY AWAKE THROUGH IT UM AND KEPT FALLING ASLEEP AND THEN TALK ABOUT HOW STUPID IT WAS,rnaNMUZpvvg,-2.2
666,1.0,WHO HAVE NAMED THEMSELVES AFTER THE PLACES UM TO WHICH THEY HAVE TRAVELED IN WHICH I THINK IS A REALLY NICE XXX,d3_k5Xpfmik,2.0
678,13.0,YEAH IT REALLY IS GOOD I MEAN,d3_k5Xpfmik,2.2
989,10.0, ITS ITS A BIT OF A MIXED BAG COZ THERE WERE SOME VERY BRIGHT MOMENTS,QN9ZIUWUXsY,0.8
1005,8.0,UM UM A YOU KNOW ALONG WITH THE XXX I WOULD PROBABLY SAYING GO SEE THIS MOVIE AN EARLY SHOWING DONT SPEND A LOT OF MONEY FOR THE NIGHT VIEWING,PZ-lDQFboO8,-0.6
572,12.0, LAUGHING SO THEYRE JUST SITTING THERE,etzxEpPuc6I,0.666666666667
206,4.0,BUT HM IT JUST TOO MANY PROBLEMS WITH IT,f9O3YtZ2VfI,-2.4
1319,1.0,PROBABLY WIDELY CONSIDERED TO BE ONE OF THE FAILED ONE OF THE MOST FAILED MOVIES OF THE XMEN FRANCHISE,cW1FSBF59ik,-2.6
313,1.0,AND A GUY WHO LOOKS A LOT LIKE TOM CRUISE,OtBXNcAL_lE,0.2
344,8.0,THE ENTIRE TIME I WAS CONSTANTLY COMPARING IT TO INCEPTION,8OtFthrtaJM,-0.2
1246,16.0,UM THERES NO EXPLANATION FOR THIS THING,MLal-t_vJPM,-1.6
128,5.0,ALTHOUGH I ENJOYED THE MOVIE,TvyZBvOMOTc,1.2
1011,2.0,UM SOME REALLY GOOD ACTING,7JsX8y1ysxY,2.2
836,12.0,AND THERE WAS JUST THIS LITTLE BOY AND HE WAS THE ONLY PERSON WHO WASNT A DOUCHEBAG,rnaNMUZpvvg,-1.0
934,3.0,I COULDNT GET INTO IT,tmZoasNr4rU,-2.0
986,7.0,TRON LEGACY IS A MOVIE WHERE ON MOST COUNTS THAT I JUDGE MOVIES IT KIND OF FAILS,QN9ZIUWUXsY,-1.0
340,4.0,I DO NOT UNDERSTAND THIS MOVIE,8OtFthrtaJM,-2.0
1449,1.0,WELL HE PLAYS THAT WELL SO HES A GOOD VILLAIN,Vj1wYRQjB-o,1.4
1049,1.0,ANYWAYIT WAS A REALLY CUTE MOVIE,G-xst2euQUc,2.0
584,5.0,UM I THOUGHT THEY CASTED KIND OF WELL,Dg_0XKD0Mf4,1.0
1053,5.0, AND I WAS PLEASANTLY SURPRISED BY THIS MOVIE,G-xst2euQUc,1.8
251,1.0, SNAP MOST OF THE CRITICS ARE RIGHT,Bfr499ggo-0,-1.75
1036,27.0, HE DID A VERY GOOD JOB ,7JsX8y1ysxY,2.0
247,15.0, IF THERE IS ANY SILVERLINING IN THIS MOVIE ITS JOHN KRASINSKI,iiK8YX8oH1E,0.6
873,7.0,BUT YOU KNOW WHAT YOU DONT NEED A COMPLECATED FORMULA FOR AN ACTION MOVIE,bvLlb-M3UXU,-1.0
170,32.0,AND UM LOOKING REALLY FORWARD TO SEEING THAT MOVIE,Nzq88NnDkEk,1.8
733,21.0,AND YOU REALLY CAN KIND OF SYMPHATIZE WHETHER YOUVE GOT TO HAVE KIDS,zhpQhgha_KU,0.6
906,15.0,AND I THINK UM WHAT I TOOK AWAY FROM THIS WAS THAT REALLY TRIED VERY HARD TO MAKE SOMETHING ORIGINAL,Iu2PFX3z_1s,1.8
230,28.0,BUT AND ITS A GOOD STORY,f9O3YtZ2VfI,1.2
573,13.0, LIKE THIS ONE PART WHERE THE GIRLS LIKE MY DADDY TAUGHT ME TO WIN WIN AND THEN SHES LOOKING IN THE CAMERA AND IM LIKE WOW LIKE UM THIS ACTINGS PRETTY BAD ,etzxEpPuc6I,-2.2
835,11.0,EVERY SINGLE COWBOY WAS JUST A COMPLETE DOUCHEBAG,rnaNMUZpvvg,-2.6
728,16.0,I THINK THAT CHARLOTTE AND MIRANDA HAVE SOME REALLY NICE MOMENTS IN THE MOVIE ,zhpQhgha_KU,1.8
630,9.0,AND UM ITS JUST MADE ME REALLY REALLY EXCIDED FOR SAW 6,Ci-AH39fi3Y,2.4
945,14.0, IT IT IT WAS JUST THERE I I I I WASNT I WASNT AMUSED,tmZoasNr4rU,-2.0
768,21.0, YEAH ONCE UNFORTUNATELY UM I THINK IN THE WRITING SOMEWHERE THEY THEY JUST WERENT UM DEVELOPED ENOUGH FEAR TO CARE ABOUT THEM UM AND THAT INCLUDES IS IT TOPHER GRACES I THINK I THINK HIS NAME WAS INCLUDS HIS CHARACTER UM,8d-gEyoeBzc,-2.0
784,7.0, TOY STORY HAD ELEMENTS OF IT BUT THIS MOVIE PLAYED WITH 3D AND UM DIFFERENT WAYS TO COME AT YOU OUT OF THE SCREEN,9J25DZhivz8,2.2
272,22.0,BUT IF YOU DONT EXPECT A LOT I THINK YOULL ENJOY IT,Bfr499ggo-0,1.0
1197,1.0, NINE NINETY SCREENING PLUS I AM NUMBER FOUR YOU CANT GO WRONG WITH THAT,ZUXBRvtny7o,2.25
381,22.0,AND THANKS FOR LISTENING TO ME RAMBLE,WKA5OygbEKI,0.4
1138,6.0,UM BIGGEST ONE IS THE CGI EFFECTS WERE JUST TERRIBLE ,8qrpnFRGt2A,-2.6
639,18.0,BECAUSE THEY WERENT YOU KNOW INTRODUCED WELL REALLY,Ci-AH39fi3Y,-1.2
1172,2.0, I THOUGHT THE FIRST ONE WAS CREATIVE AND INVENTIVE AND REALLY BROUGHT SOMETHING NEW TO THE CINEMA ,BvYR0L6f2Ig,2.0
677,12.0,AND I HONESTLY THINK IF WE HADNT HAVE SEEN WATCHMAN THIS WOULD BE THE BEST CREDIT SEQUENCE OF THE YEAR,d3_k5Xpfmik,2.0
427,7.0,THE PLOT IS YOU KNOW,LSi-o-IrDMs,-0.2
548,31.0, LIKE IT WAS LIKE SPEWING CGI LAST HALF HOUR OF THE MOVIE,d6hH302o4v8,-1.4
273,1.0,SAVE YOUR MONEY WAIT TIL IT COMES OUT ON RENTAL,ZAIRrfG22O0,-2.0
403,22.0, UM I I AT THE END OF THE MOVIE THE FRIENDS I WAS WITH UH ONE OF THEM GOES WAS THERE A PLOT TO THIS MOVIE,I5y0__X72p0,-1.6
766,19.0,AND XXX WAS AN INTERESTING CHARACTER ,8d-gEyoeBzc,1.6
1069,21.0,SO I WOULD RECOMMEND THIS MOVIE,G-xst2euQUc,1.4
1198,2.0,I WAS NOT LOOKING FORWARD TO SEE THIS MOVIE,ZUXBRvtny7o,-1.4
379,20.0,I DEFINITELY WILL BUY IT,WKA5OygbEKI,0.0
708,24.0, BUT THEY TOOK A NEW SPIN ON IT,_dI--eQ6qVU,1.4
1423,5.0,JI JOE RISE OF THE COBRA UM THIS MOVIE IS INCREDIBLE CHEEZY,wMbj6ajWbic,0.2
1018,9.0,IT WAS FUNNY THOUGH,7JsX8y1ysxY,1.8
647,26.0,THE ENDING WAS NOT YOU KNOW CRAZY SHOCKING OR ANYTHING LIKE USUAL,Ci-AH39fi3Y,-0.8
1237,7.0, ITS A LOT OF FUN TO WATCH,MLal-t_vJPM,2.2
1376,2.0, HER ACTING WAS PRETTY BAD,Qr1Ca94K55A,-2.0
938,7.0, I I CANT EXPLAIN WHY THE HUMOR WAS WAS MOSTLY FLAT BECAUSE A FEW OR SEVERAL JOKES ACTUALLY FELT THEY THEY THEY ACTUALLY FELT FELT FUNNY,tmZoasNr4rU,-1.0
388,7.0, AND I GOTTA SAY I WASNT BLOWN AWAY BY IT ,I5y0__X72p0,-1.4
1477,20.0,BUT THEN SAM FLYNN MEETS HIS FATHER AND TRON BASICALLY TURNS INTO A STAR WARS PREQUEL AFTER THAT ONE,BioHAh1qJAQ,-1.4
1062,14.0, I HAD NO IDEA THAT ANNE HATHAWAY COULD REALLY SING,G-xst2euQUc,-0.6
730,18.0,ACTUALLY THE MOST UPBEAT CHARACTER IN THE WHOLE MOVIE,zhpQhgha_KU,0.6
458,9.0,ITS A HUGE BREAK THROUGH FOR KEVIN SMITH,5W7Z1C_fDaE,2.4
1076,7.0,AND MAYBE BEST VISUAL EFFECTS,2WGyTLYerpo,1.6
1162,4.0,I ALSO LIKED HOW THE STORYLINE OF THE MOVIE WORKED TOGETHER SMOOTHLY,9c67fiY0wGQ,2.0
1379,5.0,AND HIS ACTING WASNT REALLY GOOD IN THAT MOVIE ,Qr1Ca94K55A,-1.6
720,8.0,BUT ALL IN ALL I JUST THOUGHT IT WAS REALLY OVER OVERLY SAD,zhpQhgha_KU,-1.0
920,13.0, MARLON WAYANS KIND OF PLAYS A WATERED DOWN VERSION OF HIMSELF FROM OTHER MOVIES,nzpVDcQ0ywM,-1.0
802,25.0,BUT WHAT MADE THIS MOVIE REALLY FUN WAS SOME OF THE ADULT HUMOUR JABS,9J25DZhivz8,2.0
390,9.0,IT WAS GOOD,I5y0__X72p0,1.6
1007,10.0,I LOVE THE SHREK FILMS,PZ-lDQFboO8,2.0
1501,14.0, I GUESS IM JUST OVER IT,tStelxIAHjw,-1.8
337,1.0,WHICH IS WHERE ALL GREAT RELATIONSHIPS SHOULD START ,8OtFthrtaJM,0.4
200,30.0,BUT THAT DIDNT REALLY MATTER,W8NXH0Djyww,-0.4
1358,16.0, OH GOD WHY DID I WATCH THAT MOVIE,cM3Yna7AavY,-2.8
259,9.0, UM BUT YOU KNOW THE PREMISE IS OK ,Bfr499ggo-0,0.4
223,21.0,ITS GOT MY TWO FAVORITE ACRESSES IN IT TILDA SWINTON AND CATE BLANCHETT,f9O3YtZ2VfI,2.0
1437,19.0,SO YOU KNOW ITS NOT LIKE YOU ACTUALLY GETTING LIKE ACADEMY AWARD QUALITY ACTING PERFORMANCES,wMbj6ajWbic,-0.6
753,6.0,UM WHY WAS A MISTAKE REALLY TO TRY AND DO THAT ,8d-gEyoeBzc,-1.5
1382,8.0,LIKE I SAID BEFORE IT HAD TACKY ONE LINERS THAT WERE JUST HYSTERICAL,Qr1Ca94K55A,1.6
863,17.0,UM CERTIANLY AGAIN MORE OF A DAY MOVIE THAN UM SEEING IT ALONE,Jkswaaud0hk,0.2
131,8.0,BUT OTHER THAN THAT IT DOESNT REALLY HOLD UP UNDER INSPECTION,TvyZBvOMOTc,-1.6
1019,10.0, HES FUNNY,7JsX8y1ysxY,2.0
951,20.0,MAYBE IT COULD HAVE BEEN 20 SECONDS LONGER,tmZoasNr4rU,-1.0
413,32.0,AND I LIKED IT,I5y0__X72p0,1.5
731,19.0,I THINK THAT UM AND THAT EVERYBODY I DO FEEL REALLY BAD FOR CHARLOTTE,zhpQhgha_KU,-0.8
455,6.0, IT DOESNT HOLD BACK ,5W7Z1C_fDaE,0.5
1387,13.0, UM NOW I DONT REALLY RECOMMEND THIS IF YOU GO ON A DATE WITH SOME GIRL,Qr1Ca94K55A,-2.0
30,21.0, UM AND IN FACT IN SPITE OF ALL THE NEGATIVES IM ABOUT TO MENTION I THOUGHT THE MOVIE WAS WORKING FOR A WHILE FOR ABOUT THE FIRST THIRD UM BUT AT THE END OF ACT ONE TWO SIGNIFICANT THINGS HAPPENED,Af8D0E4ZXaw,-0.8
1289,25.0,UM YEAH THE SPECIAL EFFECTS WERE OK,c7UH_rxdZv4,0.0
582,3.0,IT WAS A COOL MOVIE,Dg_0XKD0Mf4,1.4
770,23.0,WHO I THINK RODRIGEZ WHEN HE WROTE THE MO WROTE THE MOVIE WAS GOING FOR A MARLON BRANDO APOCALIPSE NOW TYPE OF CHARACTER,8d-gEyoeBzc,-0.4
803,1.0,BUT I DO WANNA TELL YOU ABOUT PRIEST,vyB00TXsimI,0.0
757,10.0, BUT UM I WOULD SAY THAT UM THERE WAS THERES GOOD THERE WERE FOUR GOOD CHARACTERS IN THERE ,8d-gEyoeBzc,0.6
830,6.0,I COULD BARELY STAY AWAKE THROUGH THE MOVIE,rnaNMUZpvvg,-2.6
685,1.0, BUT I CAN SAFELY ASSURE YOU THAT EVEN IF THEY DIDNT IT WOULD STILL BE A HIT,_dI--eQ6qVU,2.4
489,16.0,COZ LIKE AM REMAINS IN NARRATIVE FILM IS ABOUT CHARACTER DEVELOPMENT AND PLOT AND THEN SPECTACLE LIKE IN THIRD PLACE,Oz06ZWiO20M,-0.2
1171,1.0, I WAS VERY IMPRESSED WITH HIS WORK ON THE FIRST ONE,BvYR0L6f2Ig,1.6
799,22.0,THERE WAS A LOT OF CHEAP CHILD HUMOUR,9J25DZhivz8,-0.8
165,27.0, SO DISAPPOINTMENT DEFINATELY,Nzq88NnDkEk,-2.0
